# key | title | overview | location | attachments | function | nerve | physio | recall | sources
supraspinatus | Supraspinatus | An intrinsic shoulder muscle that links the scapula directly to the humerus. Its tendon is part of the shoulder's active support system. | Occupies the fossa cranial to the scapular spine, deep to the superficial shoulder coverings. | Supraspinous fossa and scapular spine to the greater tubercle of the humerus. | Extends the shoulder and helps maintain alignment during loading. Its tendon crosses the cranial shoulder. | Suprascapular nerve. | Relate shoulder support to both muscle activity and tendon integrity; a surface model cannot establish which tissue is painful. | Which scapular ridge separates this muscle from infraspinatus? | L03,L13
anconeus | Anconeus | A small elbow extensor closely related to the joint capsule. | Caudal elbow, covering the olecranon fossa and proximal ulna. | Distal humerus around the olecranon fossa to proximal lateral ulna. | Assists elbow extension and draws the capsule away from the moving joint surfaces. | Radial nerve. | Its proximity to the capsule is useful for understanding joint mechanics; it cannot be assessed independently from a model image. | How does its position differ from the long head of triceps? | L03,PROX
tensor_f.antebrachii | Tensor fasciae antebrachii | A thin medial muscle that couples elbow extension with fascial tension. | Superficial on the medial triceps region, deep to surrounding trunk-to-limb structures. | Caudal scapular and latissimus-associated fascia to olecranon and antebrachial fascia. | Extends the elbow and tensions the forearm fascia. | Radial nerve. | Distinguish the contractile muscle from the fascia it tensions; the model may not show the full continuous fascial sheet. | Which connective tissue is named by this muscle? | L03,PROX
extensor_capri_radialis | Extensor carpi radialis | A cranial forearm muscle with a name misspelled as capri in the source. | The cranial margin of the antebrachium; tendon crosses the dorsal carpus. | Lateral supracondylar region of humerus to dorsal bases of metacarpals II and III. | Extends the carpus and helps maintain the paw’s supporting alignment. | Radial nerve. | Distinguish carpal extension from digital extension by following where the tendon stops. | Does this tendon continue to the distal phalanges? | L04,DIST
extensor_capri_ulnaris | Ulnaris lateralis · extensor carpi ulnaris | A lateral forearm muscle whose traditional extensor name can mislead in the dog. | Most lateral portion of the forearm extensor compartment, with tendons passing toward the lateral/palmar carpus. | Lateral epicondyle of humerus to accessory carpal bone and proximal metacarpal V. | Supports the loaded carpus and contributes to carpal flexion and paw abduction; do not treat it as a simple carpal extensor. | Radial nerve, despite its supportive/flexor mechanical role. | This is a useful exception to learning muscle function solely from compartment or name. | Why is its nerve supply not enough to predict its exact action? | L04,DIST
extensor_digitorum_communis | Common digital extensor · forelimb | A multi-tendon extensor serving the main forepaw digits. | Craniolateral forearm; tendons traverse the dorsal carpus and metacarpus. | Lateral humeral epicondyle to extensor processes of distal phalanges II–V. | Extends the digits and assists carpal extension. | Radial nerve. | Trace the tendon past the metacarpus to distinguish digital action from that of extensor carpi radialis. | Which phalanx receives its terminal insertion? | L04,DIST
extensor_digitorum_lat | Lateral digital extensor · forelimb | A smaller digital extensor lateral to the common digital extensor. | Craniolateral antebrachium; its tendons join the extensor apparatus of the lateral digits. | Lateral humeral epicondylar region to the extensor tendons of digits III–V. | Extends the lateral digits and contributes to coordinated forepaw placement. | Radial nerve. | The abbreviated source name is distinguished from the hindlimb lateral digital extensor using the model region. | Which larger forelimb extensor lies next to it? | L04,L14
flexor_capri_radialis | Flexor carpi radialis | A medial carpal flexor; capri is a source spelling error. | Superficial caudomedial forearm with a tendon on the medial/palmar carpus. | Medial epicondyle of humerus to palmar proximal metacarpals II and III. | Flexes the carpus and helps control it during limb loading. | Median nerve. | Compare its palmar tendon course with the dorsal course of extensor carpi radialis. | How does tendon position relative to the carpus explain the opposite actions? | L04,L14
flexor_carpi_ulnaris | Flexor carpi ulnaris | A two-headed carpal flexor on the caudal forearm. | Caudomedial antebrachium; humeral and ulnar portions converge distally. | Medial humeral epicondyle and olecranon to accessory carpal bone. | Flexes the carpus and contributes to lateral control of the paw. | Ulnar nerve. | Identify the accessory carpal bone as a tendon attachment and lever; do not confuse it with the olecranon at the elbow. | What are the two proximal origins? | L04,L14
flexor_digitorum_superficialis_fore | Superficial digital flexor · forelimb | A forepaw flexor whose tendons divide around the deeper digital-flexor tendons. | Caudal antebrachium, superficial to much of the deep digital flexor; tendons continue down the palmar digits. | Medial humeral epicondyle to middle phalanges of digits II–V. | Flexes the digits, particularly through the proximal interphalangeal joints, and assists carpal flexion. | Median nerve. | Differentiate a tendon ending at the middle phalanx from one reaching the distal phalanx. | Which deeper tendon passes through the superficial flexor’s split? | L04,DIST
flexor_digitorum_profundus_fore | Deep digital flexor · forelimb | A complex with humeral, radial and ulnar components whose tendons converge toward the paw. | Deep caudal forearm; the common tendon crosses the palmar carpus and divides to the digits. | Humerus, radius and ulna to flexor surfaces of the distal phalanges. | Flexes the digits including the distal interphalangeal joints and contributes to carpal flexion. | Median and ulnar nerves, with distribution varying between component heads. | A rendered piece need not include all three heads. Use the source name only as a parent-muscle identification. | How does its insertion level differ from the superficial digital flexor? | L04,DIST
pronator_teres | Pronator teres | A short muscle crossing the medial elbow and proximal forearm. | Oblique from the medial humeral epicondyle to the medial radius; near the median nerve. | Medial humeral epicondyle to medial radial shaft. | Pronates the forearm and can assist elbow flexion. | Median nerve. | Canine forearm rotation is more restricted than the human pattern; do not transfer human range-of-motion values to this model. | Which bone rotates relative to its companion during pronation? | L04,L14
pronator_quadratus | Pronator quadratus | A deep pronator occupying the space between the forearm bones. | Fills much of the interosseous interval between radius and ulna. | Opposing surfaces of radius and ulna. | Pronates and stabilizes the radius relative to the ulna. | Median nerve. | The two-bone relationship is the key feature; the muscle does not extend from the trunk or across the shoulder. | Why is a medial or separated view helpful for finding it? | L04,L14
supinator | Supinator | A short proximal forearm muscle that opposes pronation. | Craniolateral proximal radius, deep to superficial extensor muscles. | Lateral humeral epicondylar region to proximal cranial radius. | Supinates the forearm by rotating the radius laterally relative to the ulna. | Radial nerve. | Study it with pronator teres and quadratus, without assuming human-like forearm mobility in the dog. | Which nerve supplies this rotational muscle rather than the median nerve? | L04,L13
abductor_pollicis_longus | Abductor digiti I longus | Also called abductor pollicis longus; a deep forearm muscle serving the medial first digit. | Its tendon crosses obliquely over the distal radius toward the medial carpus. | Lateral surfaces of radius and ulna and interosseous region to proximal metacarpal I. | Abducts digit I and contributes to carpal extension. | Radial nerve. | Digit I is the dewclaw region, not one of the four principal ground-contact digits. Follow the tendon to establish this distinction. | Why should pollicis not imply a human opposable thumb? | L04,DIST
trapezius | Trapezius | A superficial extrinsic muscle with cervical and thoracic parts linking the scapula to the dorsal midline. | Superficial neck and cranial thorax, over rhomboideus. | Midline neck raphe and thoracic supraspinous region to scapular spine. | Elevates and repositions the scapula; different fiber directions contribute to cranial or caudal scapular movement. | Accessory nerve, with cervical sensory/proprioceptive contributions. | The scapula has muscular suspension rather than a bony articulation with the thorax; study this muscle as one contributor to that system. | What deeper muscle attaches to the dorsal scapular border? | L01,L02
rhomboideus | Rhomboideus | An extrinsic scapular muscle with head, cervical and thoracic portions. | Deep to trapezius, along the dorsal scapular margin. | Caudal head and dorsal cervical/thoracic midline regions to dorsal border of scapula. | Elevates and stabilizes the scapula against the trunk and contributes to scapular repositioning. | Ventral branches of cervical and thoracic spinal nerves. | Its dorsal attachment complements the ventral serratus sling. A grouped mesh may not separate all three anatomical portions. | How does its scapular insertion differ from that of trapezius? | L01,L02
latissimus_dors | Latissimus dorsi | A broad extrinsic forelimb muscle connecting trunk fascia to the humerus. | Superficial dorsolateral thorax, narrowing toward the medial proximal arm. | Thoracolumbar fascia and associated caudal trunk attachments to the teres major region of the humerus. | Retracts the free limb and flexes the shoulder; with the limb fixed, it can draw the trunk forward. | Thoracodorsal nerve. | Distinguish open-chain limb movement from trunk movement over a weight-bearing limb. Neither is represented by the static pose alone. | What changes when the distal limb is fixed? | L02,L13
omotransversarius | Omotransversarius | An extrinsic muscle linking the cranial neck to the scapula. | A strap along the lateral neck, passing toward the acromion and distal scapular spine. | Wing of atlas to acromion and distal scapular spine. | Advances the scapular region when the neck is fixed; assists lateral neck bending when the limb is fixed. | Accessory nerve and cervical spinal contributions. | Relate neck position to forelimb protraction during anatomical reasoning, without attributing every shortened stride to this one muscle. | Which cervical vertebra provides its cranial attachment? | L02,L25
brachiocephalicus | Brachiocephalicus | A composite extrinsic muscle divided at a clavicular intersection; the source groups its components. | Superficial lateral neck and cranial arm, joining head/neck to humerus. | Clavicular intersection connects cleidobrachialis at the humeral crest with cleidocephalicus portions toward the head and cervical raphe. | Advances the free forelimb; with the limb fixed, head and neck position can change. | Cleidobrachialis nerve for the arm portion; accessory and cervical contributions to the cranial portions. | Do not assign one undifferentiated nerve or origin to the whole grouped mesh. Learn the clavicular intersection as the organizing landmark. | Which component lies distal to the clavicular intersection? | L02,L13
thoracis_serratus_ventr | Serratus ventralis | The major muscular sling suspending the trunk between the forelimbs. | Deep between scapula and lateral neck/thorax; cervical and thoracic fibers converge on the medial scapula. | Cervical transverse processes and cranial ribs to the serrated face of scapula. | Supports the trunk and controls scapular translation and rotation. Different regions have different lines of pull. | Cervical spinal branches to the cervical part; long thoracic nerve to the thoracic part. | Think of load transfer through a muscular sling, not a human-style clavicular shoulder girdle. | What would a lateral skeleton-only view omit about trunk support? | L02,L13
thoracis_m_pectoralis_profundus | Deep pectoral muscle | A broad ventral extrinsic muscle connecting the sternum to the proximal humerus. | Deep to the superficial pectorals, along the ventral thorax and medial shoulder. | Sternum and adjacent ventral thoracic connective tissues to proximal humerus, chiefly near the lesser tubercle. | Adducts and retracts the free limb; helps draw the trunk over a fixed limb and supports limb-to-trunk stability. | Caudal pectoral nerves. | Its action depends on whether the limb is bearing weight. The axillary region also contains major vessels and nerves. | Why does a fixed-paw task change the structure that moves? | L02,L13
pectorales_superficiales | Superficial pectoral muscles | Descending and transverse portions form the superficial ventral connection to the forelimb. Source numbers do not reliably identify each portion. | Cranial ventral thorax, superficial to deep pectoral and medial to the upper forelimb. | Cranial sternum to humeral crest and adjacent arm/forearm fascia, according to portion. | Adduct the forelimb and limit excessive abduction during support. | Cranial pectoral nerves. | Learn the superficial versus deep pectoral planes before assigning individual mesh numbers to named parts. | Which pectoral group is innervated by the cranial pectoral nerves? | L02,L13
